,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/3/19,1051,864,715,596,706,895,2070,3528,6389,10757,26310,31034,31241,34759,35427,32790,28651,22917,17504,8700,4188,3345,2152,1724
2020/3/23,1104,873,711,650,998,1655,2417,4444,7221,12233,26738,35176,33154,34415,35641,31621,27149,22302,16328,8238,3379,2400,1565,1194
2020/3/24,1128,906,871,666,704,908,1839,3888,7301,13291,27098,34223,33551,33670,35078,35980,32386,26320,18166,10327,4818,2996,1872,1386
2020/3/25,793,640,766,662,716,1341,2565,3930,6931,11387,24539,35659,33902,33396,34944,34588,32699,26254,16701,11098,4106,3190,2161,1380
2020/3/26,855,908,695,448,517,1260,1962,4068,8168,12019,27662,35483,32795,33697,37091,36668,33430,27097,17905,9121,4846,4171,2721,2065
2020/3/27,1220,489,514,448,457,992,1811,4140,6736,10115,22846,28683,24901,24612,25972,22770,21433,13748,9575,6134,3609,2562,1933,1445
2020/3/28,885,705,494,467,677,1112,1548,2792,5361,9457,19982,25651,26906,23699,24230,21484,18801,12753,7829,4357,2836,2372,1675,1508
2020/6/20,1046,740,395,433,659,1168,1947,3887,7522,13377,18939,23095,25644,25740,27401,25284,21622,14428,10482,5547,3722,2647,2395,2065
2020/6/21,1023,1113,697,778,664,876,1864,4335,7911,11196,19304,23543,24698,22719,22950,23314,19212,14064,9020,5367,4667,3420,1471,1115
2020/6/27,672,624,587,699,553,1048,2123,4761,8199,13364,23355,28318,29907,30109,29115,28970,23453,18901,10446,6406,3493,2683,1994,1626
2020/6/28,1518,978,1669,915,605,978,1619,2776,5326,8937,23413,23941,21328,19839,20120,20377,16581,12420,6487,2937,2288,1829,1668,1264
2020/7/5,694,397,267,575,949,884,1119,3696,6388,11116,21259,23606,24543,22835,21045,17226,16286,12011,8403,3845,2573,1695,1215,900
2020/7/12,742,680,430,443,776,1239,1894,3847,6724,11067,19327,27191,26302,25507,27013,26469,19544,15442,9340,3177,2727,2230,1402,1140
2020/7/18,774,535,653,606,671,958,1551,3898,5635,9160,16361,19620,23203,21887,23890,23007,19553,13676,8270,4741,3311,2827,2448,2453
2020/7/19,1893,1247,1171,719,656,969,2146,3643,5529,9379,19871,22375,24189,24819,24561,22482,22425,15199,8986,4629,3450,2702,2401,1658
2020/7/23,856,1023,1053,1338,2504,5684,5116,7829,18602,26569,32779,38691,38774,39871,40637,34654,29622,22524,14138,8599,5187,3653,2085,2154
2020/7/25,1577,997,930,1134,950,1409,2572,3756,9511,18373,36051,41400,42142,42323,39302,38041,33146,23463,15153,8897,6553,3217,2158,2199
2020/7/26,1381,1550,1358,1117,957,1197,1871,3480,6303,14022,28642,35595,33783,35315,31877,27230,21014,15562,8990,4525,3771,2307,1520,1551
2020/8/1,1655,1089,1258,1023,1125,1287,2402,4511,9508,14199,20499,27490,29785,31481,33363,28052,25684,18459,11905,6805,4254,2898,3030,2803
2020/8/2,1920,1585,1216,1387,1148,1489,2370,4704,9796,16194,26720,30733,33487,33473,33403,30452,24394,17637,9811,5488,4048,2629,2027,1867
2020/8/3,1107,870,1112,961,946,1154,2342,4038,7202,10012,20077,26766,28402,27543,27827,23694,19637,14427,9613,5503,3205,2326,1841,1184
2020/8/4,631,1146,520,817,803,967,2074,3737,7826,10218,18726,26247,24298,25657,25125,21654,18879,13928,7705,4958,2677,2383,2102,1695
2020/8/5,1626,1651,969,606,768,988,1744,3649,7683,11810,19398,26470,28326,26540,29249,23336,17457,14904,8698,5122,2820,2456,2243,2090
2020/8/6,977,1123,782,761,892,999,2126,4326,8166,10302,20312,25913,27611,24568,26179,25987,20751,15696,9839,4864,3548,2853,2233,2092
2020/8/7,1786,1231,788,729,829,1191,2304,4168,8650,13616,23849,30072,29509,27801,29210,27011,21597,15825,11029,6399,3621,2726,1816,1863
2020/8/8,873,1043,1642,688,943,1370,2781,4688,11442,17182,33719,36083,39535,39061,39545,37938,32944,25653,14740,8035,6865,3714,3181,2947
2020/8/11,1047,1237,1188,523,744,1350,2602,5047,9763,18191,35919,43802,45050,43765,43797,39744,31280,22902,14380,8266,4673,2945,2390,1999
2020/8/12,1340,770,1004,694,1222,1227,2311,5009,9901,16274,33452,40971,44306,37971,39320,37369,32144,25934,15846,7235,4810,3105,3051,2493
2020/8/13,1944,1331,1407,1041,1305,2003,2533,5061,11814,17723,32765,41607,42742,41797,41903,39393,34461,27088,18654,9259,4942,3688,2881,2048
