,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-02-14,411,74,273,557,635,1083,1908,4250,7146,13757,22043,29612,29676,27730,29888,29549,24326,17486,9997,6493,3626,3300,2215,1809,0
2020-02-15,743,338,733,643,632,1074,2159,3889,8758,15843,27826,40040,38349,40141,43062,40815,32804,25350,12774,6881,4742,3960,2360,1434,3
2020-02-16,848,912,641,809,780,1300,1760,3453,7142,14860,32329,36958,34740,34810,34474,30408,26336,15597,11382,5419,4315,3025,1610,1032,0
2020-02-17,664,436,339,373,473,845,1897,4248,7140,14070,27663,39902,39458,37573,38942,34425,24768,17930,9086,4256,3543,3042,2565,2872,0
2020-02-18,1598,1389,1260,1238,975,1379,1835,4618,7900,13386,27373,35143,35179,38334,37002,34118,31459,22042,12172,6224,3418,2810,1692,1663,0
2020-02-19,1017,715,566,569,634,1154,1824,4013,7168,14175,24903,32758,31345,31252,33109,29951,25515,18739,10700,5832,4323,3270,2328,1475,0
2020-02-20,1045,682,983,667,715,1080,1851,3865,6591,10981,21829,27807,27759,26360,30801,28111,24947,19007,10084,5072,3012,2287,1729,1677,0
2020-02-21,833,711,662,704,619,1092,2086,4080,7119,11599,22039,30174,31857,32364,34180,29825,25755,19758,13846,6370,2862,2645,1889,1407,0
2020-02-22,816,574,397,484,633,1109,1610,3741,9412,16046,32548,36511,41328,38989,39001,37366,30546,20962,12469,6384,4260,3956,2335,1134,3
2020-02-23,1316,821,564,488,509,989,1742,3792,10599,23544,47490,56933,56094,52908,60024,52327,50315,41192,23546,18952,7580,4706,2258,1451,3
2020-02-24,786,685,668,621,719,1050,2178,3459,9073,18823,41635,44910,44676,49142,48769,45030,39459,29543,16723,9239,4441,3639,1823,1424,3
2020-02-25,886,673,564,500,515,1101,1789,3745,7101,12675,22749,31786,32042,32587,35006,29350,22266,18323,10382,4696,3188,2597,1683,1122,0
2020-02-26,937,600,526,648,748,1087,2007,3499,6360,10432,22460,29812,32971,28440,29209,26091,22242,18435,10980,4950,3020,2650,1830,1438,0
2020-02-27,663,591,483,448,617,912,2054,3880,6761,10252,22531,30103,28629,28522,32163,26176,23512,20159,10894,4546,3370,2382,1486,1228,0
2020-02-28,955,739,583,520,583,1016,1726,3537,6303,11810,20983,27245,28427,26715,28473,24669,22428,18648,11947,5774,3315,3387,1521,1369,0
2020-02-29,664,512,551,654,636,891,1624,3058,6782,10931,22153,25632,31618,28920,30189,28328,24272,15578,7630,5388,3839,2855,1914,1692,0
2020-03-01,817,833,797,643,1182,1586,2415,3619,6628,11383,23647,33033,32702,32917,34767,31081,26986,19423,8689,4273,4419,2517,1451,1302,0
2020-03-02,747,537,646,663,554,1176,1630,3627,5462,8570,15493,21803,21203,20823,23870,18918,18013,13112,7919,4807,2909,2689,1806,1595,0
2020-03-03,424,572,934,728,949,1581,2426,4106,7149,12221,20862,26550,29739,27470,29223,26034,21537,17561,10361,4582,3291,2365,1956,1636,0
2020-03-04,744,806,644,499,774,1147,1728,3539,6610,7970,15932,22716,22634,22979,27275,24541,18361,13359,8724,5353,3034,2359,1463,1494,0
2020-03-05,852,638,684,487,702,1201,1679,3583,5891,11044,21058,25899,29168,24998,30349,23117,23281,19001,10603,7051,3621,2522,1894,1383,0
2020-03-06,875,574,536,510,592,1300,1908,4152,6844,10507,19295,26478,27314,27797,31421,25248,22682,17553,12422,7492,4844,3328,2241,1434,0
2020-03-07,876,810,617,532,796,1468,1949,3922,7815,12874,25899,31945,35544,34813,38017,33599,30475,19561,12246,6787,5050,2989,2240,1765,0
